Taxon Id	Common name	Scientific name	Parent	Rank
1006745		Pomatorhinus schisticeps klossi	201359	subspecies
1006746		Pomatorhinus schisticeps leucogaster	201359	subspecies
1006747		Pomatorhinus schisticeps mearsi	201359	subspecies
1006748		Pomatorhinus schisticeps nuchalis	201359	subspecies
1006749		Napothera albostriata	201355	species
1006750		Cyanoderma melanothorax	2614578	species
1006752	black-chinned babbler	Cyanoderma pyrrhops	2614578	species
1006753		Stachyris thoracica	98149	species
1007899		Mentocrex kioloides berliozi	1006214	subspecies
1007900		Mentocrex kioloides kioloides	1006214	subspecies
1028790		Accipiter badius poliopsis	387787	subspecies
1032458		Megalaima franklinii franklinii	240713	subspecies
1032459		Megalaima haemacephala cebuensis	240716	subspecies
1032460		Megalaima haemacephala celestinoi	240716	subspecies
1032461		Megalaima haemacephala delica	240716	subspecies
1032462		Megalaima haemacephala haemacephala	240716	subspecies
1032463		Megalaima haemacephala indica	240716	subspecies
1032464		Megalaima haemacephala intermedia	240716	subspecies
1032465		Megalaima haemacephala mindanensis	240716	subspecies
1032466		Megalaima haemacephala rosea	240716	subspecies
1032467		Megalaima malabarica	91772	species
1032468		Megalaima rubricapillus	91772	species
1032469		Megalaima viridis	91772	species
1032512	black-billed mountain-toucan	Andigena nigrirostris	91760	species
1032513		Chelidoptera	135166	genus
1032514		Chelidoptera tenebrosa	1032513	species
1032525		Scolopax bukidnonensis	56298	species
1032621	Northern saddleback	Philesturnus rufusater	2133942	species
1032649		Pterodroma ultima	37063	species
1034722		Chenorhamphus campbelli	1931079	species
1034723		Chenorhamphus grayi	1931079	species
1034724		Clytomyias insignis oorti	720581	subspecies
1034725		Malurus alboscapulatus moretoni	925988	subspecies
1034726		Malurus alboscapulatus naimii	925988	subspecies
1034727		Malurus coronatus coronatus	481900	subspecies
1034728		Malurus cyanocephalus	55806	species
1034729		Malurus cyanocephalus bonapartii	1034728	subspecies
1034730		Malurus lamberti assimilis	228352	subspecies
1034746		Malurus lamberti lamberti	228352	subspecies
1034747		Sipodotus	55805	genus
1034748		Sipodotus wallacii	1034747	species
1036802		Loxigilla barbadensis	111864	species
1036803	chestnut munia	Lonchura atricapilla	40156	species
1036804		Erythrura psittacea	44315	species
1037253		Phyllastrephus debilis debilis	147051	subspecies
1037254		Phyllastrephus debilis rabai	147051	subspecies
1037255		Phyllastrephus debilis albigula	147051	subspecies
1037346	Cuban hawk	Accipiter gundlachi	8956	species
1037455	Audubon's warbler	Setophaga auduboni	111975	subspecies
1037456	myrtle warbler	Setophaga coronata coronata	111975	subspecies
1037457	Goldman's warbler	Setophaga goldmani	111975	subspecies
1037458	black-fronted warbler	Setophaga coronata nigrifrons	111975	subspecies
1042129		Micrastur buckleyi	56333	species
1042130		Micrastur mirandollei	56333	species
1042131		Micrastur mintoni	56333	species
1042132		Micrastur ruficollis	56333	species
1047206	Ruaha chat	Myrmecocichla collaris	701079	species
1048754	lesser necklaced laughingthrush	Garrulax monileger	98126	species
1048755		Garrulax nuchalis	98126	species
1048756		Sitta castanea	50248	species
1053994	Guatemala barred owl	Strix fulvescens	36304	species
1053996		Strix varia varia	57075	subspecies
1053998		Strix varia sartorii	57075	subspecies
1054831		Otus megalotis megalotis	56273	subspecies
1055197	White-eared catbird	Ailuroedus buccoides	28721	species
1055202		Chlamydera guttata	34930	species
1068087		Passeriformes sp. BOLD:AAB3817	771911	species
1068088		Passeriformes sp. BOLD:AAF6271	771911	species
1068483		unclassified Tinamiformes	8802	no rank
1068484		Tinamiformes sp. BOLD:AAE1945	1068483	species
1069110		Icterus gularis gigas	105515	subspecies
1069111		Icterus pustulatus microstictus	105521	subspecies
1069112		Icterus pustulatus pustulatus	105521	subspecies
